var_name,var_label
smri_thick_cdk_banksstslh,Cortical thickness in mm of APARC ROI lh-Banks of Superior Temporal Sulcus
smri_thick_cdk_cdacatelh,Cortical thickness in mm of APARC ROI lh-caudalanteriorcingulate
smri_thick_cdk_cdmdfrlh,Cortical thickness in mm of APARC ROI lh-caudalmiddlefrontal
smri_thick_cdk_cuneuslh,Cortical thickness in mm of APARC ROI lh-cuneus
smri_thick_cdk_ehinallh,Cortical thickness in mm of APARC ROI lh-entorhinal
smri_thick_cdk_fusiformlh,Cortical thickness in mm of APARC ROI lh-fusiform
smri_thick_cdk_ifpllh,Cortical thickness in mm of APARC ROI lh-inferiorparietal
smri_thick_cdk_iftmlh,Cortical thickness in mm of APARC ROI lh-inferiortemporal
smri_thick_cdk_ihcatelh,Cortical thickness in mm of APARC ROI lh-isthmuscingulate
smri_thick_cdk_locclh,Cortical thickness in mm of APARC ROI lh-lateraloccipital
smri_thick_cdk_lobfrlh,Cortical thickness in mm of APARC ROI lh-lateralorbitofrontal
smri_thick_cdk_linguallh,Cortical thickness in mm of APARC ROI lh-lingual
smri_thick_cdk_mobfrlh,Cortical thickness in mm of APARC ROI lh-medialorbitofrontal
smri_thick_cdk_mdtmlh,Cortical thickness in mm of APARC ROI lh-middletemporal
smri_thick_cdk_parahpallh,Cortical thickness in mm of APARC ROI lh-parahippocampal
smri_thick_cdk_paracnlh,Cortical thickness in mm of APARC ROI lh-paracentral
smri_thick_cdk_parsopclh,Cortical thickness in mm of APARC ROI lh-parsopercularis
smri_thick_cdk_parsobislh,Cortical thickness in mm of APARC ROI lh-parsorbitalis
smri_thick_cdk_parstgrislh,Cortical thickness in mm of APARC ROI lh-parstriangularis
smri_thick_cdk_pericclh,Cortical thickness in mm of APARC ROI lh-pericalcarine
smri_thick_cdk_postcnlh,Cortical thickness in mm of APARC ROI lh-postcentral
smri_thick_cdk_ptcatelh,Cortical thickness in mm of APARC ROI lh-posteriorcingulate
smri_thick_cdk_precnlh,Cortical thickness in mm of APARC ROI lh-precentral
smri_thick_cdk_pclh,Cortical thickness in mm of APARC ROI lh-precuneus
smri_thick_cdk_rracatelh,Cortical thickness in mm of APARC ROI lh-rostralanteriorcingulate
smri_thick_cdk_rrmdfrlh,Cortical thickness in mm of APARC ROI lh-rostralmiddlefrontal
smri_thick_cdk_sufrlh,Cortical thickness in mm of APARC ROI lh-superiorfrontal
smri_thick_cdk_supllh,Cortical thickness in mm of APARC ROI lh-superiorparietal
smri_thick_cdk_sutmlh,Cortical thickness in mm of APARC ROI lh-superiortemporal
smri_thick_cdk_smlh,Cortical thickness in mm of APARC ROI lh-supramarginal
smri_thick_cdk_frpolelh,Cortical thickness in mm of APARC ROI lh-frontalpole
smri_thick_cdk_tmpolelh,Cortical thickness in mm of APARC ROI lh-temporalpole
